Plot,Block,Replicate,Treatment,LMH_met_biomass,total_pin_hits,plant_species_richness,plant_species_diversity,plant_species_evenness,mean_hit_height,sd_hit_height,prop_spine,density_spine,length_spine,width_spine,bare_ground
S1M,S,1,M,1974.172286,996,29,2.4551,0.7291,125.97,126.71,0.4096,13.24324324,15.32300199,2.015418977,16
S1C,S,1,C,10079.03197,1151,31,2.4958,0.7268,63.15,90.87,0.1807,13.53846154,19.18751442,2.191951923,6
S1T,S,1,T,2.896594182,2133,42,2.2273,0.5959,85.71,110.40,0.2382,12.80237154,14.87068521,1.907566535,3
S2M,S,2,M,1360.014316,964,30,2.2806,0.6705,128.29,124.85,0.5031,13.42725173,18.9878192,2.133122732,19
S2C,S,2,C,9578.991664,737,31,2.5562,0.7444,87.11,107.10,0.3094,13.70103093,19.40988267,2.186729013,10
S2T,S,2,T,314.1047002,1457,47,2.3162,0.6016,69.45,84.10,0.1922,11.94117647,13.13165808,1.730838095,5
S3M,S,3,M,2074.974226,1281,49,3.2065,0.8239,84.62,109.27,0.2592,10.65853659,17.23413139,2.309405706,4
S3C,S,3,C,7204.875093,1730,51,2.8192,0.7170,38.84,58.74,0.0965,13.8742515,16.87896236,2.045871685,6
S3T,S,3,T,171.3648531,2287,63,3.1517,0.7607,80.61,101.74,0.2243,11.73189824,6.682802535,1.7473379,2
N1M,N,1,M,1210.124748,304,26,2.4556,0.7537,125.01,129.86,0.5493,18.19594595,6.975791506,1.536521879,35
N1C,N,1,C,8751.825523,227,13,1.8717,0.7297,99.31,87.20,0.5683,14.2231405,6.854405121,1.533782664,60
N1T,N,1,T,5.8898501,888,20,2.1581,0.7204,142.15,164.85,0.3367,12.50167224,6.012309922,1.581769072,5
N2M,N,2,M,1242.229017,920,31,2.4651,0.7179,166.37,179.87,0.4978,12.29137529,3.414282724,1.357798674,18
N2C,N,2,C,6667.686429,236,15,2.0657,0.7628,51.18,95.12,0.2076,13.19047619,5.541562625,1.678622449,27
N2T,N,2,T,91.71375942,1700,46,2.7855,0.7275,62.72,76.41,0.2241,15.94326241,3.956317252,1.494513762,6
N3M,N,3,M,1166.015245,272,20,2.0147,0.6725,185.45,129.42,0.7500,13.58227848,4.161116761,1.403703134,36
N3C,N,3,C,7849.83072,166,16,2.0100,0.7250,33.16,42.56,0.2410,14,3.571428571,1.322857143,54
N3T,N,3,T,39.24947741,1557,47,2.8001,0.7273,59.84,62.93,0.2107,10.46520147,5.919864818,1.633103087,13
